demander,,,,,,,,,,,,,,,,,,,supplier,,,,,
t_i,Q_i,unit_i,lon_i,lat_i,"Ex_q,i","En_q,i","He_q,i","Ex_r,i","En_r,i","He_r,i","r,i_FCFS","x,i_FCFS","r,i_Det","x,i_Det","r,i_TFN","x,i_TFN",,,t_j,Q_j,Y_jq,unit_j,lon_j,lat_j
1.402222222,2,3,112.9733,34.777,1.06,0.9104,0.3559,64.2,12.0719,0,50,1,64.2,1.06,30,1,,,1.558055556,4,2,3,113.3787,34.5025
2.858333333,1,3,112.9733,34.777,1,0.8523,0.2218,32.62,21.5941,6.0959,50,1,32.62,1,60,1.1667,,,5.789444444,5,20,3,113.7616,34.9534
4.368333333,5,3,114.0046,34.6069,2.22,1.2222,0.1679,40.3,22.8705,0,50,2,40.3,2.22,60,2.3333,,,12.05083333,1,11,3,113.5553,34.5169
5.362824074,4,3,114.0046,34.6069,0.84,0.9686,0,34.16,20.7388,1.989,50,1,34.16,0.84,60,1.1667,,,12.05083333,1,2.5,2,113.0991,34.6734
5.966944444,2,3,113.631,34.8719,1.02,0.9836,0,32.88,18.5551,0,50,1,32.88,1.02,30,1,,,18.24305556,1,2.5,2,113.4005,34.4101
7.090231481,1,3,113.631,34.8719,1.24,0.9986,0,79.78,11.4834,0,50,1,79.78,1.24,85,1,,,18.78,4,10,2,113.6202,34.415
6.739722222,1,2,112.864,34.8547,10.12,3.5033,1.3844,84.6,10.5679,0,50,10,84.6,10.12,85,10,,,24.87944444,2,2,3,113.2716,34.6511
7.924722222,5,2,113.1292,34.5914,15.02,6.2415,0,86.38,8.2659,0,50,16,86.38,15.02,85,16,,,27.41833333,2,2,3,113.6782,34.9007
8.390833333,1,2,113.1292,34.5914,8.62,2.8756,0.616,83.24,9.2124,0.546,50,8,83.24,8.62,85,8,,,29.13694444,2,5,1,113.3655,34.5925
8.687525252,4,3,113.9467,34.678,5.2,2.1256,0.4652,51.46,17.2245,0,50,5,51.46,5.2,60,5,,,30.20972222,1,10.5,1,113.7257,34.4108
8.974166667,2,3,112.9446,34.6243,2.12,1.1952,0,36.68,18.8318,0,50,2,36.68,2.12,60,2,,,30.34444444,6,10,1,113.4648,34.6223
9.091055556,1,3,112.9446,34.6243,1.82,1.1139,0.1085,29.46,22.5306,0,50,2,29.46,1.82,60,2,,,30.70388889,4,20.5,2,113.8497,34.7785
9.558611111,5,3,113.0248,34.5647,9.82,2.9598,0.5367,83.04,12.3406,0,50,8,83.04,9.82,85,8,,,36.3475,1,2,1,113.9188,34.7429
9.633888889,4,3,113.0248,34.5647,3.86,1.2844,0.4778,78.54,11.4513,1.684,50,4,78.54,3.86,85,4,,,39.71055556,5,14,3,114.1572,34.2964
9.935,1,2,112.9744,34.6881,8.78,3.5734,0,90.52,9.0178,0,50,8,90.52,8.78,85,8,,,41.90361111,4,3,3,113.3575,34.5347
10.37027778,5,3,113.4887,34.688,4.7,2.2459,0.5216,65.42,13.0305,3.1504,50,4,65.42,4.7,60,4,,,42.92027778,6,4,2,113.1649,34.7716
11.00327778,4,3,113.4887,34.688,2.14,1.3636,0,27.84,20.053,0,50,2,27.84,2.14,60,2.3333,,,45.59972222,3,12.5,2,112.838,34.8101
13.53527778,3,1,113.7343,34.3896,5.32,2.3883,0.4376,72.88,15.2022,0,50,5,72.88,5.32,30,5.8333,,,49.11027778,4,3.5,3,113.3998,34.508
17.60194444,2,3,113.3745,34.9612,0,0,0,33.36,19.9026,3.8964,50,2,33.36,0,40,2.3333,,,54.03,1,3.5,2,113.9218,34.2914
