t_i,Q_i,unit_i,lon_i,lat_i,text_i
1.402222222,2,3,112.9733,34.777,"#Henan Flood Relief# SOS! A small amount of water has begun seeping into my first floor. The situation is still in the early stages, but my home is already taking on water. I'm looking for a safe place to wait this out."
2.858333333,1,3,112.9733,34.777,"#Henan Rainstorm# Friends in Zhengzhou, please help me — some water has seeped in through the corridor entrance. Things are just starting to get bad, and I can't get out on my own. I'm hoping someone with a kind heart can drive over to help."
4.368333333,5,3,114.0046,34.6069,"#Henan Flood Relief# I'm trapped in Zhengzhou. Water is pooling in the courtyard and the low-lying areas are already knee-deep. Our household water supply is running low — if anyone can bring some over, that would be a lifesaver."
5.362824074,4,3,114.0046,34.6069,(Please share!) #Henan Flood Relief# Nearby intersections are flooded and we can't get out. Food at home is nearly gone. Hoping someone can bring us a little food.
5.966944444,2,3,113.631,34.8719,#Zhengzhou Rainstorm# Please share this. Roads around here have standing water but are still barely passable. Is there anywhere nearby I can take shelter from the rain for a while? I need a place to stay.
7.090231481,1,3,113.631,34.8719,"#Zhengzhou Flood SOS# URGENT — water at the community entrance has reached ankle level, making it difficult to come and go. There are no vehicles nearby. I desperately need someone to arrange transportation for me."
6.739722222,1,2,112.864,34.8547,"#Zhengzhou Flood SOS# Please spread the word! It's nighttime and the power is out. The sound of water outside is terrifying. Flooding has reached the top of the first floor, and the entire community is completely cut off. Urgently need multiple vehicles or boats to clear an evacuation route."
7.924722222,5,2,113.1292,34.5914,"#Zhengzhou Rainstorm# [Community Emergency SOS] Our building has many elderly residents. The entire ground floor is submerged and everyone has retreated to upper floors awaiting rescue. We've been trapped for hours. Water supply is cut off and a large number of residents have completely exhausted their drinking water. Conditions for the elderly, young, sick, and disabled are critical."
8.390833333,1,2,113.1292,34.5914,Zhengzhou #Henan Flood Relief# Community SOS: Power has gone out across the entire area. Floodwater has reached chest level and is still rising toward the second floor. Urgently need multiple transport vehicles to help evacuate residents to higher ground.
8.687525252,4,3,113.9467,34.678,"#Zhengzhou Rainstorm# Please help us. Water levels keep rising — by this afternoon the flooding was thigh-deep and we are completely unable to get out. We're trapped at home. Food is running out, and we can't go outside. Please, someone bring us food."
8.974166667,2,3,112.9446,34.6243,"#Zhengzhou Rainstorm# Everyone please help — water just barely reached ankle level, and several nearby roads are impassable on foot. Is there anywhere nearby to take shelter for a while? I need a place to stay."
9.091055556,1,3,112.9446,34.6243,#Zhengzhou Rainstorm# Please help. Water is slowly seeping in at my front door but hasn't entered the house yet. I can't get out on my own. Hoping a kind-hearted person can drive over to help.
9.558611111,5,3,113.0248,34.5647,(Please share!) #Henan Flood Relief# Outdoor water levels have surpassed chest height. An elderly neighbor next door is trapped on the first floor — the situation is critical. All our drinking water is gone and we can't go out to get more. Things are getting harder by the minute. Please bring us water.
9.633888889,4,3,113.0248,34.5647,"#Zhengzhou Flood SOS# URGENT — floodwater inside the community keeps rising. Adults can no longer wade through it — the water is at waist level. With many people in our household, food is being consumed rapidly and we're running critically short. Please, someone bring us something to eat."
9.935,1,2,112.9744,34.6881,#Henan Rainstorm# EXTREMELY URGENT — my phone is almost dead. Floodwater in the stairwell has reached chest height. We are completely unable to get out. SOS! The entire community is sealed off — urgently need multiple vehicles or boats to break open an evacuation route.
10.37027778,5,3,113.4887,34.688,"#Henan Rainstorm# Friends in Zhengzhou, please help. Water has reached waist level. A few of us are barely able to move forward by holding hands. We've run out of drinking water at home and can't go outside. Please, if anyone nearby has water, help us."
11.00327778,4,3,113.4887,34.688,"#Zhengzhou Rainstorm# Everyone please help — water at the community entrance has reached ankle level, making it hard to get in and out. My emergency food reserves are running low. If anyone can send over some food, it would mean the world."
13.53527778,3,1,113.7343,34.3896,Zhengzhou #Henan Flood Relief# URGENT! Road surface flooding has risen to thigh level — walking is extremely dangerous. All electric scooters are down. There aren't enough medical staff to manage. We urgently request several volunteers to come and help transport supplies and maintain order.
17.60194444,2,3,113.3745,34.9612,#Henan Flood Relief# I'm trapped in Zhengzhou. Water has seeped into the corridor entrance and things are just starting to get bad. My first floor is now taking on water. I'm looking for a safe place to wait this out.
17.89972222,1,3,113.3745,34.9612,#Zhengzhou Rainstorm# Please share. Water just reached ankle level and several nearby roads are impassable on foot. There are no vehicles nearby and I urgently need someone to arrange transportation for me.
19.09083333,6,1,113.0402,34.8332,#Henan Rainstorm# [Emergency SOS — Please Share] The hospital situation is critical. Outdoor water depth has surpassed knee level and all vehicles are submerged — we have nowhere to go. The backup generator is nearly depleted. Several departments are at risk of losing power. Please urgently dispatch several generators.
21.46611111,2,3,114.1976,34.8849,"#Henan Flood Relief# SOS! A small amount of water has begun seeping into my first floor. The situation is still in the early stages, but my home is starting to flood. I'm looking for a safe place to wait this out."
21.87472222,1,3,114.1976,34.8849,#Henan Flood Relief# SOS! Water is slowly creeping up to my front door but hasn't entered the house yet. I can't get out alone. I hope someone with a kind heart can drive over to help.
23.50916667,5,2,113.1747,34.9714,#Henan Rainstorm# Community Emergency — Power and water have been cut for over ten hours. The entire first floor is submerged and we are stranded on higher floors. Emergency calls cannot get through. The community is completely isolated. A large number of residents have gone many days without clean drinking water. The situation is extremely critical.
23.79577778,4,2,113.1747,34.9714,"#Zhengzhou Rainstorm# Posting on behalf of residents: Refrigerators are floating. There is no way to stop the floodwater from pouring in. The entire building has lost power and many families are trapped on separate floors with no way to evacuate. The community has been cut off for days. A large number of residents face severe food shortages, with the elderly and children in the most critical condition."
24.94222222,1,2,113.2423,34.3544,#Henan Flood Relief# Please share and help! Water is chest-high. Our family of three is trapped on the second floor — the staircase is completely submerged and there's no way out. Water levels are still rising. Urgently need multiple transport vehicles to evacuate residents to higher ground.
25.65361111,2,3,113.4923,34.8758,#Zhengzhou Rainstorm# Everyone please help — nearby intersections are flooded and we can't get out. Is there anywhere nearby to take shelter for a while? I need a place to stay.
25.8715,1,3,113.4923,34.8758,#Zhengzhou Rainstorm# Please help. Water is pooling in the courtyard and low-lying areas are already knee-deep. There are no vehicles nearby. I urgently need someone to arrange transportation for me.
26.74305556,4,3,113.952,34.4767,"#Zhengzhou Rainstorm# Please share. There are floating debris everywhere on the roads. The deepest flooding is at waist level — it's extremely dangerous. With many people in the house, food is being consumed rapidly and we're running critically short. Please, someone bring us something to eat."
27.16527778,6,2,113.0819,34.6782,#Henan Flood Relief# Please spread the word. Roads in the area have standing water but are still barely passable. The drainage in our community isn't working. We're hoping to get a pump to help clear the water.
27.70527778,1,1,113.1614,34.467,#First Affiliated Hospital of Zhengzhou University# #Henan Flood Relief# EMERGENCY SOS! Outdoor water levels are rising visibly by the second. The top of the first floor has disappeared underwater. Communication is increasingly difficult. The situation is extremely grave. All exit routes are cut off. We need large numbers of vehicles and inflatable boats deployed immediately — the consequences will be unthinkable otherwise.
27.81083333,5,3,112.8843,34.6174,"#Zhengzhou Flood SOS# URGENT — water is pooling in the courtyard and low-lying areas are already knee-deep. Tap water has been cut off and my bottled water is almost gone. Please, someone help."
27.86861111,4,3,112.8843,34.6174,"#Henan Rainstorm# Friends in Zhengzhou, please help — roads in the area have standing water but are still barely passable. My emergency food reserves are running low. If anyone can send over some food, that would be wonderful."
28.09972222,6,2,113.2852,34.935,#Zhengzhou Rainstorm# Posting on behalf of residents: Water is slowly creeping up to front doors but hasn't entered homes yet. The community's drainage system is overwhelmed — we need some equipment to help.
29.05222222,1,3,113.738,34.3186,"(Please share!) #Henan Flood Relief# Water has seeped in through the corridor entrance. Things are just starting to get bad, and I can't get out on my own. Hoping someone with a kind heart can drive over to help."
