Country,the People's Republic of China,,,,,,,
Province,Henan,,,,,,,
City,Zhengzhou,,,,,,,
Start time," 00:00 on July 19, 2021",,,,,,,
End time,"23:00 on July 25, 2021",,,,,,,
Time zone,GMT+08:00,,,,,,,
Data source ,European Medium-term Weather Centre,,,,,,,
District,,precipitation mm/h,precipitation mm/h,precipitation mm/h,precipitation mm/h,precipitation mm/h,precipitation mm/h,precipitation mm/h
Date,Time,DengFeng,XinZheng,XinMi,XingYang,GongYi,ZhongMou,ZhengZhou (urban area)
2021/7/19,0:00:00,0.929379556,1.486672391,0.929379556,1.752238011,0.929379556,1.486672391,1.962382905
2021/7/19,1:00:00,0.90820886,1.399748493,0.90820886,1.434329711,0.90820886,1.399748493,1.559018902
2021/7/19,2:00:00,0.945030351,1.252464415,0.945030351,1.248421718,0.945030351,1.252464415,1.167532057
2021/7/19,3:00:00,1.1651846,1.428926422,1.1651846,1.365118765,1.1651846,1.428926422,1.281365007
2021/7/19,4:00:00,1.307609689,1.455096295,1.307609689,1.704563631,1.307609689,1.455096295,1.674337126
2021/7/19,5:00:00,1.367937285,1.416096662,1.367937285,1.917305239,1.367937285,1.416096662,2.173222136
2021/7/19,6:00:00,1.428435976,1.744364889,1.428435976,1.878961385,1.428435976,1.744364889,2.511752117
2021/7/19,7:00:00,1.243446325,1.724305842,1.243446325,1.693511358,1.243446325,1.724305842,2.448896226
2021/7/19,8:00:00,1.552027138,1.664963015,1.552027138,3.441180289,1.552027138,1.664963015,4.851764906
2021/7/19,9:00:00,1.567846513,1.834024955,1.567846513,2.887968183,1.567846513,1.834024955,3.389256913
2021/7/19,10:00:00,2.178172697,2.826824086,2.178172697,3.006248153,2.178172697,2.826824086,3.425881639
2021/7/19,11:00:00,3.097639815,3.983050212,3.097639815,3.720635036,3.097639815,3.983050212,5.038847309
2021/7/19,12:00:00,4.732098989,5.931418994,4.732098989,4.81056408,4.732098989,5.931418994,6.850278005
2021/7/19,13:00:00,5.615866324,6.667046249,5.615866324,5.198952137,5.615866324,6.667046249,6.782472599
2021/7/19,14:00:00,5.433310149,6.615318172,5.433310149,4.788149614,5.433310149,6.615318172,4.7839595
2021/7/19,15:00:00,4.322338337,4.183851695,4.322338337,4.134680098,4.322338337,4.183851695,3.036869131
2021/7/19,16:00:00,3.016101709,2.504697908,3.016101709,2.947215666,3.016101709,2.504697908,2.197968867
2021/7/19,17:00:00,2.200092631,1.862073317,2.200092631,1.648032304,2.200092631,1.862073317,1.341250353
2021/7/19,18:00:00,2.41943174,2.28120829,2.41943174,1.483559352,2.41943174,2.28120829,1.379855722
2021/7/19,19:00:00,2.747381246,3.024194646,2.747381246,1.640941319,2.747381246,3.024194646,1.407571323
2021/7/19,20:00:00,2.61162417,3.028427926,2.61162417,1.537919033,2.61162417,3.028427926,1.230387948
2021/7/19,21:00:00,2.204807661,2.772262925,2.204807661,1.348597615,2.204807661,2.772262925,1.149219275
